"Name","High","Hour","Timestamp","Recurrence"
"BYND","137.97","09","05/14/2020 09:39:00","1"
"BYND","139.56","10","05/14/2020 10:31:00","1"
"BYND","141.0","11","05/14/2020 11:15:00","1"
"BYND","138.24","12","05/14/2020 12:57:00","1"
"BYND","137.79","13","05/14/2020 13:00:00","1"
"BYND","135.73","14","05/14/2020 14:12:00","1"
"BYND","135.85","15","05/14/2020 15:54:00","1"
"DDOG","67.25","09","05/14/2020 09:32:00","1"
"DDOG","66.55","10","05/14/2020 10:09:00","1"
"DDOG","65.0","11","05/14/2020 11:05:00","4"
"DDOG","65.0","11","05/14/2020 11:06:00","0"
"DDOG","65.0","11","05/14/2020 11:16:00","0"
"DDOG","65.0","11","05/14/2020 11:20:00","0"
"DDOG","64.88","12","05/14/2020 12:54:00","1"
"DDOG","65.0","13","05/14/2020 13:02:00","1"
"DDOG","64.13","14","05/14/2020 14:48:00","1"
"DDOG","65.87","15","05/14/2020 15:54:00","1"
"FB","203.87","09","05/14/2020 09:37:00","1"
"FB","203.35","10","05/14/2020 10:53:00","1"
"FB","204.27","11","05/14/2020 11:37:00","1"
"FB","205.1","12","05/14/2020 12:56:00","1"
"FB","205.64","13","05/14/2020 13:32:00","1"
"FB","204.99","14","05/14/2020 14:29:00","1"
"FB","206.93","15","05/14/2020 15:59:00","1"
"NFLX","452.0","09","05/14/2020 09:36:00","1"
"NFLX","446.51","10","05/14/2020 10:08:00","1"
"NFLX","440.64","11","05/14/2020 11:16:00","1"
"NFLX","440.34","12","05/14/2020 12:59:00","1"
"NFLX","441.78","13","05/14/2020 13:49:00","1"
"NFLX","441.44","14","05/14/2020 14:30:00","1"
"NFLX","442.14","15","05/14/2020 15:59:00","1"
"OKTA","178.0","09","05/14/2020 09:38:00","2"
"OKTA","178.0","09","05/14/2020 09:39:00","0"
"OKTA","177.81","10","05/14/2020 10:10:00","1"
"OKTA","179.89","11","05/14/2020 11:37:00","1"
"OKTA","179.01","12","05/14/2020 12:57:00","1"
"OKTA","178.5","13","05/14/2020 13:02:00","2"
"OKTA","178.5","13","05/14/2020 13:03:00","0"
"OKTA","177.81","14","05/14/2020 14:32:00","1"
"OKTA","177.85","15","05/14/2020 15:05:00","1"
"PINS","16.54","09","05/14/2020 09:31:00","2"
"PINS","16.54","09","05/14/2020 09:32:00","0"
"PINS","16.67","10","05/14/2020 10:53:00","2"
"PINS","16.67","10","05/14/2020 10:54:00","0"
"PINS","16.94","11","05/14/2020 11:18:00","1"
"PINS","17.04","12","05/14/2020 12:57:00","1"
"PINS","17.03","13","05/14/2020 13:26:00","1"
"PINS","16.91","14","05/14/2020 14:21:00","2"
"PINS","16.91","14","05/14/2020 14:22:00","0"
"PINS","17.09","15","05/14/2020 15:50:00","2"
"PINS","17.09","15","05/14/2020 15:51:00","0"
"SHOP","758.09","09","05/14/2020 09:31:00","1"
"SHOP","752.0","10","05/14/2020 10:10:00","2"
"SHOP","752.0","10","05/14/2020 10:12:00","0"
"SHOP","757.47","11","05/14/2020 11:16:00","1"
"SHOP","754.16","12","05/14/2020 12:57:00","1"
"SHOP","755.82","13","05/14/2020 13:01:00","1"
"SHOP","751.8","14","05/14/2020 14:57:00","1"
"SHOP","755.57","15","05/14/2020 15:50:00","1"
"SNAP","16.73","09","05/14/2020 09:31:00","1"
"SNAP","16.93","10","05/14/2020 10:54:00","1"
"SNAP","17.15","11","05/14/2020 11:07:00","1"
"SNAP","16.99","12","05/14/2020 12:57:00","1"
"SNAP","17.0","13","05/14/2020 13:31:00","1"
"SNAP","16.92","14","05/14/2020 14:57:00","2"
"SNAP","16.92","14","05/14/2020 14:58:00","0"
"SNAP","16.97","15","05/14/2020 15:08:00","2"
"SNAP","16.97","15","05/14/2020 15:09:00","0"
"SQ","72.81","09","05/14/2020 09:46:00","1"
"SQ","75.59","10","05/14/2020 10:59:00","1"
"SQ","76.49","11","05/14/2020 11:09:00","1"
"SQ","76.75","12","05/14/2020 12:59:00","1"
"SQ","77.18","13","05/14/2020 13:48:00","1"
"SQ","77.26","14","05/14/2020 14:59:00","1"
"SQ","78.25","15","05/14/2020 15:57:00","1"
"TTD","289.45","09","05/14/2020 09:31:00","1"
"TTD","290.07","10","05/14/2020 10:53:00","1"
"TTD","296.86","11","05/14/2020 11:18:00","1"
"TTD","294.5","12","05/14/2020 12:57:00","1"
"TTD","296.0","13","05/14/2020 13:31:00","1"
"TTD","295.77","14","05/14/2020 14:59:00","1"
"TTD","297.67","15","05/14/2020 15:24:00","1"
